,0,1,2
57,Architecture,ARM,Qualcomm Snapdragon S1 MSM7227A
58,Architecture,ARM,Qualcomm Snapdragon S1 MSM7227A
59,64 Bit,64 Bit support,Intel Atom Z2420
60,Architecture,x86,Intel Atom Z2420
61,Architecture,ARM,Mediatek MT6577 (40 nm)
62,Architecture,ARM,Mediatek MT8317T
63,Architecture,ARM,Mediatek MT8317
64,Architecture,ARM,Nvidia Tegra 3 T30L
65,Architecture,ARM,Mediatek MT6575 (40 nm)
66,Architecture,ARM,Mediatek MT6575 (40 nm)
67,Architecture,ARM,Mediatek MT6575 (40 nm)
68,Architecture,ARM,Qualcomm Snapdragon S1 MSM7227A
69,Architecture,ARM,Qualcomm Snapdragon S1 MSM7227A
70,Architecture,ARM,Qualcomm Snapdragon S4 Plus MSM8260A
71,Architecture,ARM,Nvidia Tegra 3
72,Architecture,ARM,Nvidia Tegra 3
73,Architecture,ARM,Nvidia Tegra 3
74,Architecture,ARM,Nvidia Tegra 3
75,Architecture,ARM,Nvidia Tegra 3
76,Architecture,ARM,Qualcomm Snapdragon S2 MSM8255
77,Architecture,ARM,Qualcomm Snapdragon S1 MSM7227T-1
78,Architecture,ARM,Qualcomm Snapdragon S2 MSM8255-1
79,Architecture,ARM,Qualcomm Snapdragon S1 MSM7227
80,Architecture,ARM,Qualcomm Snapdragon S1 MSM7227
81,Architecture,ARM,Qualcomm Snapdragon S1 MSM7227
82,Architecture,ARM,Qualcomm Snapdragon S1 MSM7227
83,Architecture,ARM,Qualcomm Snapdragon S1 QSD8250
84,Architecture,ARM,Qualcomm Snapdragon S1 QSD8250
85,Architecture,ARM,Qualcomm Snapdragon S1 MSM7227
86,Architecture,ARM,Qualcomm Snapdragon S1 MSM7227
87,Architecture,ARM,Qualcomm Snapdragon S1 MSM7227
88,Architecture,ARM,Qualcomm Snapdragon S1 MSM7227
89,Architecture,ARM,Qualcomm Snapdragon S1 MSM7225
90,Architecture,ARM,Qualcomm Snapdragon S1 QSD8250
91,Architecture,ARM,Qualcomm Snapdragon S1 QSD8250
92,Architecture,ARM,Qualcomm Snapdragon S1 MSM7225
93,Architecture,ARM,Qualcomm Snapdragon S1 MSM7225
94,Architecture,ARM,Qualcomm Snapdragon S1 MSM7225
95,64 Bit,64 Bit support,Unisoc SC9863A (28nm)
96,Architecture,ARM,Unisoc SC9863A (28nm)
97,64 Bit,64 Bit support,Mediatek MT6739 (28 nm)
98,Architecture,ARM,Mediatek MT6739 (28 nm)
99,64 Bit,64 Bit support,Unisoc SC9863A (28nm)
100,Architecture,ARM,Unisoc SC9863A (28nm)
101,64 Bit,64 Bit support,MediaTek MT8766B
102,Architecture,ARM,MediaTek MT8766B
103,64 Bit,64 Bit support,Qualcomm QM215 Snapdragon 215 (28 nm)
104,Architecture,ARM,Qualcomm QM215 Snapdragon 215 (28 nm)
105,64 Bit,64 Bit support,Unisoc SC9863A (28nm)
106,Architecture,ARM,Unisoc SC9863A (28nm)
107,64 Bit,64 Bit support,Mediatek MT6739 (28 nm) - EuropeQualcomm SDM429 Snapdragon 429 (12 nm)
108,Architecture,ARM,Mediatek MT6739 (28 nm) - EuropeQualcomm SDM429 Snapdragon 429 (12 nm)
109,64 Bit,64 Bit support,Qualcomm SDM439 Snapdragon 439 (12 nm)
110,Architecture,ARM,Qualcomm SDM439 Snapdragon 439 (12 nm)
